backend,dataset,train_time_seconds,predict_time_seconds
classical_svm_cpu,banknote,0.0008580684661865234,0.00021004676818847656
classical_svm_cpu,two_moons,0.0008637905120849609,0.00016546249389648438
qsvm_statevector,banknote,33.58850836753845,10.210265398025513
qsvm_statevector,two_moons,14.3924081325531,4.537654161453247
qsvm_qasm,banknote,37.85071849822998,9.12720775604248
qsvm_qasm,two_moons,15.685555458068848,6.3541247844696045
